Id,alternative,choice,Brand,Size,Storage,Ram,Battery,Price,Nexus,Kindle,iPad,Galaxy,Surface,a7inch,a8inch,a9inch,a10inch,a16gb,a32gb,a64gb,a128gb,a1gb,a2gb,a4gb,a7h,a8h,a9h,p169,p199,p299,p399,p499
5,1,2,2,1,1,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1
5,2,2,5,2,4,2,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
5,3,2,3,2,3,3,2,3,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
5,1,2,4,4,2,1,1,5,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
5,2,2,1,4,3,3,3,2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
5,3,2,2,3,3,2,2,5,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
5,1,1,5,3,4,3,2,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
5,2,1,1,1,2,2,3,4,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1
5,3,1,4,2,3,1,1,5,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
5,1,1,1,2,2,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
5,2,1,4,3,3,1,2,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1
5,3,1,5,4,1,2,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
5,1,1,2,1,2,1,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
5,2,1,3,1,3,2,2,5,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
5,3,1,4,1,2,1,3,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
5,1,3,3,2,4,1,1,4,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
5,2,3,3,1,3,2,2,4,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
5,3,3,3,3,2,3,3,4,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
6,1,2,5,4,2,1,1,3,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1
6,2,2,4,3,4,3,1,4,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
6,3,2,2,1,4,2,2,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
6,1,1,3,2,3,2,3,3,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1
6,2,1,3,4,2,3,2,4,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
6,3,1,1,4,1,1,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1
6,1,1,2,3,3,3,2,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
6,2,1,4,1,3,1,3,5,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1
6,3,1,5,2,1,2,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1
6,1,3,4,2,1,1,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
6,2,3,5,3,2,2,3,2,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
6,3,3,1,1,4,3,1,3,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
6,1,3,3,4,3,2,2,5,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
6,2,3,1,1,2,1,1,4,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
6,3,3,4,3,1,3,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
6,1,1,5,3,3,2,1,4,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1
6,2,1,2,1,4,1,2,3,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1
6,3,1,2,2,2,3,3,5,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
6,1,1,5,2,1,2,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1
6,2,1,3,4,4,1,3,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
6,3,1,2,3,4,1,1,5,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
6,1,3,5,4,1,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1
6,2,3,3,2,3,3,2,3,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
6,3,3,1,3,2,3,3,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
6,1,1,3,4,2,2,2,2,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1
6,2,1,2,2,2,1,1,3,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1
6,3,1,4,1,3,3,3,4,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
6,1,3,4,2,4,2,2,5,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
6,2,3,5,1,1,1,2,4,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
6,3,3,1,3,4,3,1,3,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
6,1,3,2,4,3,3,3,5,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
6,2,3,1,4,1,1,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
6,3,3,3,1,1,2,1,5,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
6,1,3,4,2,3,1,3,2,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1
6,2,3,4,3,4,2,2,4,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
6,3,3,5,1,3,3,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
6,1,1,1,2,2,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
6,2,1,4,3,3,1,2,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1
6,3,1,5,4,1,2,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
6,1,1,2,1,2,1,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
6,2,1,3,1,3,2,2,5,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
6,3,1,4,1,2,1,3,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
6,1,1,3,2,4,1,1,4,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
6,2,1,3,1,3,2,2,4,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
6,3,1,3,3,2,3,3,4,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
7,1,2,1,3,2,2,2,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1
7,2,2,5,1,1,3,2,3,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
7,3,2,2,1,3,1,3,5,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1
7,1,1,3,2,1,1,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1
7,2,1,5,3,4,2,3,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
7,3,1,1,1,3,3,1,5,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
7,1,2,2,3,1,1,2,5,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
7,2,2,3,2,2,2,1,4,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1
7,3,2,4,4,4,3,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
7,1,2,4,2,3,1,3,2,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1
7,2,2,5,4,1,2,1,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
7,3,2,2,1,4,3,2,2,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
7,1,1,3,3,2,2,3,3,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1
7,2,1,1,4,3,1,1,5,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
7,3,1,2,1,1,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
7,1,3,4,1,2,2,3,4,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1
7,2,3,5,2,4,1,1,3,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1
7,3,3,3,4,1,3,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
7,1,3,3,1,4,1,2,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
7,2,3,1,3,3,2,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1
7,3,3,2,2,2,3,3,2,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
7,1,3,4,2,3,3,3,3,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
7,2,3,5,1,2,1,2,4,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1
7,3,3,5,4,1,2,1,5,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
7,1,2,1,3,4,1,1,2,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1
7,2,2,3,3,3,3,2,4,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
7,3,2,1,4,1,2,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1
7,1,2,4,2,2,3,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
7,2,2,3,3,3,2,2,5,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
7,3,2,2,4,2,1,3,3,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1
7,1,2,2,2,4,3,2,2,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
7,2,2,4,3,1,1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1
7,3,2,1,1,2,2,3,4,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1
7,1,1,5,1,1,3,3,5,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1
7,2,1,2,2,3,2,2,4,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
7,3,1,1,4,2,1,1,5,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
7,1,3,1,2,2,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
7,2,3,4,3,3,1,2,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1
7,3,3,5,4,1,2,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
7,1,2,2,1,2,1,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
7,2,2,3,1,3,2,2,5,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
7,3,2,4,1,2,1,3,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
7,1,3,3,2,4,1,1,4,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
7,2,3,3,1,3,2,2,4,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
7,3,3,3,3,2,3,3,4,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
8,1,3,2,1,1,3,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
8,2,3,1,2,3,1,2,4,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1
8,3,3,5,4,2,2,3,5,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1
8,1,3,1,1,2,1,2,5,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1
8,2,3,4,3,4,2,1,2,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
8,3,3,3,2,4,3,3,3,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
8,1,1,3,3,1,1,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
8,2,1,2,2,2,2,1,5,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
8,3,1,5,4,3,3,2,3,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
8,1,2,4,3,1,3,1,4,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
8,2,2,2,4,3,1,3,2,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1
8,3,2,5,1,4,2,2,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
8,1,1,3,4,2,1,2,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1
8,2,1,1,3,4,3,1,3,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
8,3,1,4,1,1,2,3,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1
8,1,3,5,2,3,3,1,4,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1
8,2,3,4,4,1,1,3,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1
8,3,3,3,1,4,2,2,3,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1
8,1,3,1,2,3,2,2,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
8,2,3,2,3,4,1,3,5,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
8,3,3,5,3,2,3,1,2,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1
8,1,2,1,2,1,2,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1
8,2,2,3,1,2,3,3,4,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
8,3,2,4,4,2,1,1,3,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1
8,1,2,2,3,1,2,2,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1
8,2,2,3,1,3,3,1,5,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
8,3,2,4,4,4,1,2,4,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1
8,1,2,1,3,2,3,3,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
8,2,2,5,4,3,2,3,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
8,3,2,5,2,1,1,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1
8,1,1,2,4,3,2,1,3,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1
8,2,1,4,2,2,3,2,5,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
8,3,1,2,1,4,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
8,1,1,3,2,4,2,3,5,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1
8,2,1,4,3,3,1,2,4,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1
8,3,1,1,4,4,3,3,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
8,1,3,1,2,2,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
8,2,3,4,3,3,1,2,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1
8,3,3,5,4,1,2,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
8,1,2,2,1,2,1,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
8,2,2,3,1,3,2,2,5,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
8,3,2,4,1,2,1,3,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
8,1,3,3,2,4,1,1,4,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
8,2,3,3,1,3,2,2,4,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
8,3,3,3,3,2,3,3,4,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
9,1,3,2,3,2,2,1,4,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1
9,2,3,3,2,1,1,3,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1
9,3,3,4,4,3,3,2,3,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
9,1,3,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1
9,2,3,3,4,4,3,3,5,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
9,3,3,2,1,2,2,2,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
9,1,3,2,2,1,2,1,4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
9,2,3,1,3,4,1,2,2,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1
9,3,3,5,2,1,3,3,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
9,1,1,5,4,3,2,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1
9,2,1,3,1,4,3,1,2,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
9,3,1,4,3,2,1,3,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
9,1,3,4,3,1,2,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1
9,2,3,1,1,3,1,2,5,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1
9,3,3,2,4,2,3,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
9,1,2,5,2,4,1,3,4,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1
9,2,2,1,3,4,3,2,3,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
9,3,2,3,1,3,2,1,2,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1
9,1,3,1,2,1,2,3,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1
9,2,3,4,1,2,1,2,3,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1
9,3,3,5,4,2,3,2,5,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
9,1,2,5,3,4,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
9,2,2,3,2,4,2,3,2,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
9,3,2,2,3,3,1,3,4,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1
9,1,1,2,4,4,2,3,2,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
9,2,1,4,2,1,3,1,5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
9,3,1,5,4,1,3,2,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1
9,1,2,4,1,1,2,3,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1
9,2,2,3,2,2,3,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
9,3,2,1,3,3,2,2,2,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1
9,1,1,1,2,3,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1
9,2,1,5,1,2,3,3,5,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
9,3,1,2,4,2,1,2,4,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1
9,1,3,3,1,3,1,3,3,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1
9,2,3,1,3,1,2,2,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1
9,3,3,4,4,4,3,1,2,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
9,1,1,1,2,2,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
9,2,1,4,3,3,1,2,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1
9,3,1,5,4,1,2,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
9,1,1,2,1,2,1,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1
9,2,1,3,1,3,2,2,5,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
9,3,1,4,1,2,1,3,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
9,1,3,3,2,4,1,1,4,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
9,2,3,3,1,3,2,2,4,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
9,3,3,3,3,2,3,3,4,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
10,1,2,1,1,2,2,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
10,2,2,3,3,1,1,2,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
10,3,2,1,2,4,3,1,3,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
10,1,1,3,3,2,3,3,5,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
10,2,1,2,2,2,2,2,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
10,3,1,2,4,1,1,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1
10,1,2,4,4,3,3,3,2,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
10,2,2,5,3,4,1,2,3,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1
10,3,2,1,1,2,2,1,5,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
10,1,3,2,2,4,2,3,4,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
10,2,3,4,4,1,3,2,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
10,3,3,3,3,3,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1
